,0,1
0,思考,39
1,生活,28
2,患者,28
3,经历,26
4,人生,26
5,哲学,25
6,世界,23
7,善良,21
8,喜欢,21
9,希望,19
10,热爱,17
11,生命,16
12,感动,16
13,温柔,16
14,医患,15
15,文字,15
16,真正,15
17,读完,14
18,值得,14
19,坚定,14
20,力量,14
21,故事,13
22,关系,13
23,事件,13
24,大夫,13
25,内心,12
26,也许,12
27,善,12
28,通透,12
29,特别,12
30,非常,11
31,成为,11
32,相信,11
33,医者,11
34,鸡汤,11
35,真诚,11
36,哭,11
37,价值,10
38,人性,10
39,需要,10
40,其实,10
41,之后,10
42,了解,10
43,无法,9
44,永远,9
45,依然,9
46,普通人,9
47,目光,9
48,总是,9
49,医学,9
50,东西,9
51,伟大,9
52,大爱,9
53,意义,8
54,感受,8
55,可能,8
56,一颗,8
57,一点,8
58,理想,8
59,文笔,8
60,努力,8
61,感悟,8
62,优秀,8
63,内容,8
64,应该,8
65,职业,8
66,不能,8
67,医疗,8
68,身上,8
69,这是,8
70,智慧,8
71,病人,8
72,世间,7
73,道理,7
74,人间,7
75,透彻,7
76,善恶,7
77,三星,7
78,知道,7
79,一下,7
80,全书,7
81,前面,7
82,面对,7
83,不要,7
84,赤诚,7
85,光明,7
86,书里,7
87,真实,7
88,仁心,7
89,有点,7
90,时间,7
91,幸福,7
92,愿意,7
93,学习,7
94,照亮,7
95,原来,7
96,生死,7
97,温暖,7
98,坚强,7
99,选择,7
100,显得,7
101,伤害,7
102,文学,7
103,一直,7
104,能够,7
105,完美,7
106,每个,6
107,思想,6
108,赤子之心,6
109,陷入,6
110,能力,6
111,道德,6
112,分,6
113,人类,6
114,比较,6
115,发生,6
116,读者,6
117,幸运,6
118,工作,6
119,成长,6
120,后面,6
121,好人,6
122,容易,6
123,人物,6
124,那种,6
125,整个,6
126,不同,6
127,活,6
128,受伤,6
129,印象,6
130,美好,6
131,更加,6
132,时,6
133,圣人,6
134,理想主义者,6
135,一天,6
136,-,6
137,死亡,6
138,理想主义,5
139,信仰,5
140,坚持,5
141,自我,5
142,确实,5
143,正,5
144,普通,5
145,是因为,5
146,忍不住,5
147,朋友,5
148,痛苦,5
149,只能,5
150,爱,5
151,没,5
152,游戏,5
153,恶,5
154,老师,5
155,行业,5
156,一名,5
157,评价,5
158,大部分,5
159,产生,5
160,改变,5
161,事情,5
162,事业,5
163,～,5
164,找到,5
165,有意思,5
166,心有,5
167,慈悲,5
168,五星,5
169,实在,5
170,不想,5
171,里面,5
172,心中,5
173,真,5
174,出,5
175,表达,5
176,篇,5
177,学生,5
178,平凡,5
179,迷茫,5
180,正常,5
181,关注,5
182,善意,5
183,心,5
184,敬佩,5
185,初心,5
186,紧张,5
187,认识,5
188,真是,5
189,乐观,5
190,继续,5
191,充满,5
192,章节,5
193,难得,5
194,少年,5
195,理解,5
196,以前,5
197,失明,5
198,具有,5
199,花,4
200,前半部,4
201,听,4
202,纯粹,4
203,依旧,4
204,感,4
205,柔软,4
206,现在,4
207,本来,4
208,完整,4
209,吐槽,4
210,随笔,4
211,大众,4
212,最好,4
213,精神,4
214,提到,4
215,像是,4
216,走,4
217,看着,4
218,暴力,4
219,受害者,4
220,微光,4
221,存在,4
222,星,4
223,总,4
224,之间,4
225,大概,4
226,一章,4
227,启发,4
228,读书,4
229,想到,4
230,或许,4
231,一生,4
232,平静,4
233,描述,4
234,共情,4
235,恢复,4
236,有种,4
237,讨论,4
238,能量,4
239,自传,4
240,地铁,4
241,流泪,4
242,不断,4
243,心态,4
244,世上,4
245,重要,4
246,可爱,4
247,救治,4
248,时刻,4
249,必要,4
250,激励,4
251,有趣,4
252,天使,4
253,砍伤,4
254,很大,4
255,环境,4
256,意外,4
257,讲,4
258,笑,4
259,作品,4
260,苦难,4
261,心理,4
262,深刻,4
263,医院,4
264,支持,4
265,反思,4
266,科学,4
267,问,4
268,推荐,4
269,有人,4
270,保护,4
271,想法,4
272,遭遇,4
273,疾苦,4
274,态度,4
275,人心,4
276,不幸,4
277,传统,4
